aah	00856756.v
inactivate	00188538.v
inaugurate	02372457.v
inaugurate	02401742.v
inaugurate	00345621.v
incandesce	00566773.v
incandesce	00566608.v
incapacitate	00507017.v
incapacitate	00091130.v
incarcerate	02470280.v
incarnadine	00282102.v
incarnate	01630391.v
incarnate	02672412.v
incase	01473435.v
incense	02107055.v
incense	01769775.v
inch	02054177.v
incinerate	00374203.v
incinerate	00373884.v
incise	01542716.v
incite	01635233.v
incite	00842279.v
incite	01219347.v
incline	02695145.v
incline	02151591.v
incline	02044694.v
incline	02018786.v
incline	00672837.v
inclose	01573739.v
inclose	00184835.v
include	02607558.v
include	00676741.v
include	00181188.v
include	02426186.v
incommode	02483603.v
inconvenience	02483603.v
inconvenience_oneself	02483331.v
incorporate	00461722.v
incorporate	02604187.v
incorporate	02424418.v
incorporate	01528134.v
increase	00153864.v
increase	00150700.v
incriminate	02611570.v
incriminate	00834037.v
incrust	01504550.v
incrust	01250032.v
incrust	00251712.v
incubate	00250783.v
incubate	00059461.v
inculcate	00599004.v
inculpate	02611570.v
incur	02696704.v
incur	00517453.v
incurvate	02018035.v
incurvate	01269055.v
indemnify	02230173.v
indemnify	02229551.v
indent	01730058.v
indent	01268241.v
indent	01268039.v
indent	01265669.v
indent	00876262.v
indenture	00876262.v
index	02448938.v
index	02331735.v
index	00694336.v
indicate	00911970.v
indicate	00914463.v
indicate	00918479.v
indicate	00763992.v
indicate	00918696.v
indict	02497103.v
indispose	00673121.v
indispose	00297816.v
indispose	00064147.v
indite	01683134.v
individualise	00643763.v
individualise	00383827.v
individualize	00643763.v
individualize	00383827.v
individuate	02672147.v
individuate	00138948.v
indoctrinate	00597490.v
indorse	02429972.v
indorse	02532503.v
indorse	02424132.v
indorse	00987929.v
induce	01629356.v
induce	00761805.v
induce	01629828.v
induce	00629003.v
induce	01722116.v
induct	02361041.v
induct	02367238.v
induct	02361320.v
induct	01722116.v
induct	00820931.v
indue	02450360.v
indulge	02487107.v
indulge	01171054.v
indulge	01180423.v
indulge	02545885.v
indurate	00570953.v
indurate	00438752.v
indurate	00438484.v
indurate	00269531.v
industrialise	00571548.v
industrialise	00495202.v
industrialize	00571548.v
industrialize	00495202.v
indwell	02592108.v
inebriate	01795181.v
inebriate	01179272.v
inebriate	01179055.v
infatuate	01743919.v
infect	00088912.v
infect	00087875.v
infect	02555467.v
infect	00597902.v
infer	00629136.v
infer	01012338.v
infer	00935401.v
infer	00628623.v
infer	00586331.v
infest	02002191.v
infest	02629381.v
infest	02629280.v
infiltrate	01895787.v
infiltrate	02411986.v
infiltrate	01895612.v
infiltrate	01895443.v
infix	01409390.v
infix	01286960.v
inflame	00063000.v
inflame	02736004.v
inflame	02735691.v
inflame	01744362.v
inflame	00062833.v
inflate	00260709.v
inflate	00261043.v
inflate	00557451.v
inflate	00557092.v
inflate	00252750.v
inflect	00972787.v
inflect	00972566.v
inflict	00739817.v
influence	02512310.v
influence	00692942.v
influence	00767857.v
inform	00822821.v
inform	00517315.v
inform	00824369.v
infract	02542163.v
infringe	02542764.v
infringe	01975027.v
infuriate	01769775.v
infuscate	00308051.v
infuse	00599004.v
infuse	00493181.v
infuse	00324168.v
infuse	00323876.v
infuse	00085760.v
ingeminate	00948640.v
ingest	01145724.v
ingest	00594659.v
ingraft	01517807.v
ingrain	01518027.v
ingrain	00720063.v
ingratiate	01787427.v
ingurgitate	01181877.v
inhabit	02624510.v
inhabit	02629035.v
inhale	01187692.v
inhale	00005041.v
inhere	02628183.v
inhere_in	02679488.v
inherit	02293530.v
inherit	02293955.v
inherit	02293776.v
inhibit	00457163.v
inhibit	00457760.v
inhume	02432595.v
initial	00987442.v
initialise	00692798.v
initialise	00558121.v
initialize	00692798.v
initialize	00558121.v
initiate	01613968.v
initiate	01627220.v
initiate	02367238.v
initiate	00955199.v
initiate	00534194.v
inject	00085500.v
inject	00184577.v
inject	01572236.v
inject	01188126.v
inject	01183978.v
inject	00905437.v
injure	00069101.v
injure	01776028.v
injure	00257160.v
ink	00987155.v
ink	00448769.v
inlay	01666915.v
inmarry	02465304.v
innervate	02205993.v
innervate	00498415.v
innovate	01627743.v
inoculate	00823787.v
inoculate	00185273.v
inoculate	00085997.v
inoculate	00055368.v
inoculate	00052751.v
inosculate	01280781.v
inosculate	01280584.v
input	01410307.v
inquire	00775677.v
inquire	00721048.v
inquire	00777297.v
inscribe	01310147.v
inscribe	02447448.v
inscribe	01570057.v
inscribe	00991080.v
inscribe	00987268.v
inscribe	00984166.v
inscribe	00878018.v
inseminate	01488451.v
inseminate	00051782.v
insert	01409390.v
insert	00184835.v
insert	01377569.v
insert	01015502.v
inset	00185487.v
insinuate	02060301.v
insinuate	00918175.v
insist	00810239.v
insist	00769265.v
insist	00708947.v
insolate	02093011.v
inspan	01478260.v
inspect	02145844.v
inspect	01826692.v
inspect	00688966.v
inspire	01795576.v
inspire	01631916.v
inspire	00763313.v
inspire	00849781.v
inspire	00597714.v
inspire	00005041.v
inspirit	00190151.v
inspissate	00427117.v
inspissate	00426834.v
inspissate	00426624.v
instal	01556333.v
instal	01556875.v
install	01556333.v
install	02360816.v
install	01556875.v
instance	01011046.v
instantiate	02135984.v
instantiate	02135678.v
instigate	00842279.v
instigate	00763313.v
instil	01410430.v
instill	02302835.v
instill	01410430.v
instill	00720063.v
instill	00599004.v
instill	00493181.v
institute	01632463.v
institute	01604158.v
institutionalise	02326191.v
institutionalize	02326191.v
instruct	00820277.v
instruct	00741498.v
instruct	00822244.v
instrument	02318304.v
instrument	01692770.v
instrument	00981389.v
instrumentate	01692770.v
insufflate	02288000.v
insufflate	00078827.v
insufflate	00007231.v
insulate	00489920.v
insulate	00489151.v
insult	00839460.v
insure	00654545.v
insure	00881284.v
insure	00881910.v
insure	02229991.v
integrate	00461722.v
integrate	02458021.v
integrate	00462522.v
integrate	00635323.v
intend	00700261.v
intend	00701278.v
intend	00945436.v
intend	00922327.v
intensify	00286822.v
intensify	00224090.v
intensify	00223491.v
intensify	00569304.v
inter	02432595.v
interact	02354035.v
interbreed	01417728.v
intercalate	00186948.v
intercede	00752408.v
intercept	01427887.v
intercept	02168921.v
interchange	02236261.v
interchange	00119660.v
interchange	00119412.v
intercommunicate	02597499.v
intercommunicate	00732231.v
interconnect	02597656.v
interconnect	01343408.v
interdepend	02596913.v
interdict	01607029.v
interdict	00787358.v
interest	01804279.v
interest	02652643.v
interest	02652862.v
interfere	02428016.v
interfere	02514529.v
interiorise	00721451.v
interiorize	00721451.v
interject	00905437.v
interlace	01504857.v
interlace	01593022.v
interlard	00186210.v
interleave	02313023.v
interleave	01364629.v
interleave	00186385.v
interlink	02597656.v
interlink	01343408.v
interlock	00400803.v
interlock	01593022.v
interlock	01592322.v
interlope	02567157.v
interlude	01698659.v
intermarry	02466211.v
intermediate	00752408.v
intermingle	01449744.v
intermit	00770395.v
intermix	01449744.v
intern	02471311.v
intern	02423158.v
internalise	00721451.v
internalize	00721451.v
internationalise	02418027.v
internationalise	00404843.v
internationalize	02418027.v
internationalize	00404843.v
interpellate	00776664.v
interpenetrate	01215872.v
interpenetrate	01217708.v
interpolate	00634987.v
interpolate	00198428.v
interpose	02080237.v
interpose	02060497.v
interpose	00905437.v
interpose	02514529.v
interpret	00615567.v
interpret	00928750.v
interpret	01716926.v
interpret	01671008.v
interpret	00950115.v
interpret	00586661.v
interrelate	02700090.v
interrelate	00705720.v
interrogate	00963821.v
interrogate	00779501.v
interrupt	00769609.v
interrupt	00514721.v
interrupt	00515059.v
interrupt	00360042.v
intersect	02005144.v
intersperse	01364431.v
intersperse	00186210.v
interstratify	00501673.v
intertwine	01504857.v
intertwine	01659437.v
intertwine	01658383.v
intervene	02514529.v
intervene	02665556.v
intervene	00336893.v
interview	00800347.v
interview	00800740.v
interview	00800945.v
interweave	01506130.v
intimate	00918175.v
intimate	00921281.v
intimidate	01764176.v
intimidate	01802410.v
intonate	01039777.v
intonate	01039201.v
intone	01056217.v
intone	01039201.v
intone	01039777.v
intoxicate	01794593.v
intoxicate	01179272.v
intoxicate	00087694.v
intransitivise	00416609.v
intransitivize	00416609.v
intrench	01518154.v
intrigue	02653038.v
intrigue	00699679.v
introduce	00891797.v
introduce	01627743.v
introduce	00184835.v
introduce	02060037.v
introduce	01604304.v
introduce	01409390.v
introduce	01054557.v
introduce	00698452.v
introduce	00892511.v
introduce	00345621.v
introject	00549480.v
intromit	02478434.v
introspect	00624152.v
introvert	01493916.v
introvert	00528545.v
intrude	02000302.v
intrude	02546608.v
intrude	02149402.v
intrude	00739292.v
intrude_on	02001494.v
intrust	02326835.v
intubate	01409940.v
intuit	00583569.v
intumesce	01972621.v
intumesce	00253140.v
intussuscept	01494110.v
inunct	00084806.v
inundate	01511682.v
inundate	00214699.v
inure	00269531.v
invade	01115596.v
invade	02001494.v
invade	02629381.v
invade	01216125.v
invaginate	01568502.v
invaginate	01493916.v
invalid	02381217.v
invalid	00091130.v
invalidate	02454180.v
invalidate	00791933.v
invalidate	00659039.v
invalidate	00443595.v
inveigh	00901940.v
inveigh	00901067.v
inveigle	00760127.v
invent	01617930.v
invent	01619926.v
inventory	02448616.v
invert	00382915.v
invert	00382665.v
invest	02249766.v
invest	02450360.v
invest	02363441.v
invest	02363154.v
invest	02361041.v
investigate	00780305.v
investigate	00777297.v
invigilate	02568775.v
invigorate	01795576.v
invigorate	00437431.v
invigorate	00189857.v
invigorate	00028295.v
invite	01743385.v
invite	02361452.v
invite	01790361.v
invite	00785075.v
invite	02361706.v
invite	01457042.v
invite	01053137.v
invite	01457497.v
invite_out	02462814.v
invoice	02298920.v
invoke	01615477.v
invoke	01014764.v
invoke	00746961.v
involve	02651302.v
involve	02651772.v
involve	02610758.v
involve	02602586.v
involve	02607836.v
involve	01567809.v
involve	00593130.v
involve	00397262.v
inweave	01505655.v
iodinate	00515583.v
iodise	00182216.v
iodise	00079367.v
iodize	00182216.v
iodize	00079367.v
ionate	00515887.v
ionise	00263680.v
ionise	00263437.v
ionize	00263680.v
ionize	00263437.v
iridesce	02709602.v
irk	01769629.v
iron	01378626.v
iron_out	00205053.v
iron_out	01378626.v
irradiate	00917396.v
irradiate	00288126.v
irradiate	00287964.v
irrigate	00225161.v
irrigate	00079149.v
irritate	01770806.v
irritate	00062567.v
irritate	00498561.v
irrupt	02000302.v
irrupt	00304047.v
irrupt	00154837.v
islamise	00382202.v
islamise	00381635.v
islamize	00382202.v
islamize	00381635.v
island_hop	02077173.v
isolate	00489151.v
isolate	00491652.v
isolate	00490690.v
isolate	00647351.v
isomerise	00569738.v
isomerise	00569565.v
isomerize	00569738.v
isomerize	00569565.v
issue	00958119.v
issue	02455444.v
issue	01052491.v
issue	00523638.v
issue	01054241.v
issue_forth	02719569.v
italicise	01733681.v
italicize	01733681.v
itch	02100332.v
itch	02101646.v
itch	01808617.v
itemise	00937065.v
itemise	00936582.v
itemize	00936582.v
itemize	00937065.v
iterate	00948640.v
iterate	00339647.v
itinerate	02083345.v
jab	01218613.v
jab	01219192.v
jab	01218987.v
jabber	01041420.v
jack	01208224.v
jack	01134565.v
jack_off	01418390.v
jack_up	01208224.v
jacket	01323021.v
jacket	00048227.v
jackknife	01945370.v
jacklight	01134565.v
jackrabbit	02078949.v
jactitate	01873189.v
jade	00075383.v
jade	00074290.v
jag	01244028.v
jail	02470280.v
jam	02045807.v
jam	01975343.v
jam	01480018.v
jam	01046476.v
jam	01512333.v
jam	01511457.v
jam	01463642.v
jampack	01511457.v
jangle	02152905.v
japan	01667822.v
jar	02642156.v
jar	01847445.v
jar	01847631.v
jar	01752331.v
jar	01484758.v
jar_against	01228737.v
jaundice	00472089.v
jaundice	00105572.v
jaunt	01825699.v
jaw	01028178.v
jaw	01027010.v
jaw	01189839.v
jaw	00815954.v
jawbone	01028626.v
jaywalk	01897333.v
jazz	01710499.v
jazz	01414190.v
jazz_around	01865086.v
jazz_up	00189680.v
jeer	00841232.v
jell	00438037.v
jellify	00502177.v
jellify	00501989.v
jelly	00501989.v
jeopardise	02671089.v
jeopardize	02671089.v
jeopardize	02521018.v
jerk	01578551.v
jerk	01874214.v
jerk	00009669.v
jerk	01866780.v
jerk	01577637.v
jerk_off	01418390.v
jest	00844655.v
jest	00104444.v
jest_at	00842973.v
jet	01503377.v
jet	01924181.v
jettison	02202429.v
jettison	01497169.v
jewel	01663569.v
jib	02558786.v
jib	01928735.v
jibe	02631896.v
jibe	01928735.v
jig	01880365.v
jiggle	01880615.v
jilt	00605595.v
jimmy	01579737.v
jingle	02152905.v
jingle-jangle	02152905.v
jinx	00768322.v
jinx	00695068.v
jitterbug	01880514.v
jive	01693387.v
job	02548270.v
job	02437203.v
job	02397131.v
job	02250718.v
jockey	01093680.v
jockey	01099288.v
jockey	01076357.v
jog	02658667.v
jog	01969328.v
jog	01910474.v
jog	01883611.v
jog	01220166.v
jog	00786028.v
joggle	01880615.v
joggle	01590890.v
join	02411351.v
join	01283690.v
join	02574185.v
join	01279484.v
join	02597114.v
join_battle	01080446.v
join_forces	02392620.v
joint	02634829.v
joint	02331910.v
joint	01591000.v
joint	01544400.v
joke	00844655.v
joke	00104444.v
jollify	02467504.v
jolly	00846317.v
jolly_along	00850304.v
jolly_up	00850304.v
jolt	01847445.v
jolt	01746205.v
josh	00846317.v
jostle	01896533.v
jostle	01854091.v
jot	00995974.v
jot_down	00995974.v
jounce	01875005.v
journey	01828364.v
journey	01829559.v
joust	01111972.v
joy	01796740.v
joy	01796355.v
joyride	01938645.v
jubilate	02467383.v
jubilate	00848923.v
judder	01874035.v
judge	00664224.v
judge	00662226.v
judge	00664380.v
judge	00961941.v
judge	02477194.v
jug	02470280.v
jug	00320585.v
juggle	02553459.v
juggle	02552615.v
juggle	02414735.v
juggle	01591118.v
juggle	01588830.v
juice_up	00189680.v
julienne	01245453.v
jumble	02715509.v
jumble	01642270.v
jumble	01459966.v
jump	01945853.v
jump	01892454.v
jump	01110413.v
jump	00152987.v
jump	02648769.v
jump	01072220.v
jump	00152807.v
jump	02086180.v
jump	01993621.v
jump	01950186.v
jump	01947067.v
jump	01841637.v
jump	00608686.v
jump	00554978.v
jump	00119240.v
jump-start	01841637.v
jump-start	00345252.v
jump_for_joy	01796524.v
jump_off	00343136.v
jump_off	02086180.v
jump_on	01905501.v
jump_out	02648769.v
jumpstart	01841637.v
jumpstart	00345252.v
junk	02202531.v
junket	01826008.v
junket	01174972.v
junket	01174745.v
junketeer	01826008.v
justify	00887497.v
justify	00886835.v
justify	00885432.v
justify	00893136.v
justify	00484581.v
jut	02689432.v
jut_out	02689432.v
juxtapose	01489064.v
kayak	01929672.v
kayo	01401904.v
keel	01906966.v
keel_over	01958385.v
keen	01785050.v
keep	02655994.v
keep	02659138.v
keep	02181956.v
keep	02426862.v
keep	02554084.v
keep	00724225.v
keep	02182500.v
keep	01055319.v
keep	02626427.v
keep	02386609.v
keep	01173389.v
keep	02710474.v
keep	02553734.v
keep	02399099.v
keep	02708796.v
keep	02626590.v
keep	02262171.v
keep	02183666.v
keep	02183416.v
keep	02182740.v
keep	01290424.v
keep	00209412.v
keep_abreast	00116498.v
keep_an_eye_on	02431509.v
keep_apart	00490690.v
keep_away	02427468.v
keep_back	02399099.v
keep_back	02261779.v
keep_back	02193115.v
keep_company	02692513.v
keep_down	00232862.v
keep_down	02400533.v
keep_down	00076552.v
keep_going	02658450.v
keep_going	02598033.v
keep_going	02386609.v
keep_going	00899324.v
keep_guard	02431261.v
keep_in	02472301.v
keep_in_line	01786767.v
keep_mum	01030525.v
keep_note	00728847.v
keep_off	01178601.v
keep_off	00803035.v
keep_on	02386609.v
keep_one's_distance	02630375.v
keep_one's_eyes_off	02630375.v
keep_one's_eyes_open	02147493.v
keep_one's_eyes_peeled	02147493.v
keep_one's_eyes_skinned	02147493.v
keep_one's_hands_off	02630375.v
keep_one's_mouth_shut	00928122.v
keep_one's_nose_to_the_grindstone	02391915.v
keep_one's_shoulder_to_the_wheel	02391915.v
keep_open	02262171.v
keep_out	02425679.v
keep_pace	01103288.v
keep_quiet	00928122.v
keep_step	01103288.v
keep_tabs_on	02431963.v
keep_to_oneself	02348634.v
keep_to_oneself	02193467.v
keep_up	01103120.v
keep_up	02653729.v
keep_up	02258588.v
keep_up	00116498.v
keep_up	00020413.v
kennel	02435939.v
keratinise	00571429.v
keratinise	00571253.v
keratinize	00571429.v
keratinize	00571253.v
kern	02343673.v
kern	02343504.v
key	00644350.v
key	02315988.v
key	01507861.v
key	00478563.v
key	00477695.v
key_out	00644350.v
keynote	00295702.v
keynote	00759614.v
kibbitz	01048437.v
kibitz	01048437.v
kibosh	02535439.v
kick	01359567.v
kick	01918214.v
kick	01358372.v
kick	02030206.v
kick	01359265.v
kick	01185466.v
kick	01102124.v
kick	00897850.v
kick-start	01840603.v
kick_about	02579289.v
kick_around	02579289.v
kick_around	02492834.v
kick_around	00804930.v
kick_back	02332882.v
kick_back	01359265.v
kick_down	01573433.v
kick_downstairs	02376006.v
kick_in	02584333.v
kick_in	02286967.v
kick_in	01573433.v
kick_off	02372457.v
kick_one's_heels	02612856.v
kick_out	02477654.v
kick_out	02378456.v
kick_out	01455785.v
kick_the_bucket	00354455.v
kick_up	01359462.v
kick_up	01632100.v
kick_upstairs	02374312.v
kid	00842140.v
kid	00846317.v
kidnap	01458315.v
kill	01312214.v
kill	02449809.v
kill	01313792.v
kill	00351067.v
kill	02723807.v
kill	02178876.v
kill	01792474.v
kill	01395168.v
kill	01395027.v
kill	01314030.v
kill	01191090.v
kill	00473812.v
kill	00351553.v
kill	00351394.v
kill	00351206.v
kill_off	01315780.v
kill_oneself	01135582.v
kindle	02736004.v
kindle	02735691.v
kindle	01742566.v
kink	01212514.v
kink	00358153.v
kink_up	01212514.v
kip	00014762.v
kip_down	00017885.v
kiss	01418987.v
kiss	01419455.v
kit	02318961.v
kit_out	02318961.v
kit_up	02318961.v
kite	02185873.v
kite	02185700.v
kite	01924507.v
kite	01830833.v
kitten	00057321.v
knap	01402104.v
knap	01247862.v
knead	01223993.v
knead	01221376.v
kneecap	01126615.v
kneel	01532623.v
knell	02161920.v
knell	02161593.v
knife	01220290.v
knight	02375860.v
knit	01656056.v
knit	01657031.v
knit	01267225.v
knock	01227069.v
knock	01402283.v
knock	01228048.v
knock	02165446.v
knock	02158921.v
knock	00817696.v
knock_about	01405503.v
knock_about	02579289.v
knock_against	01228737.v
knock_back	02676627.v
knock_cold	01401904.v
knock_down	01228291.v
knock_down	01400162.v
knock_off	01315499.v
knock_off	02327220.v
knock_off	02300247.v
knock_off	01685518.v
knock_off	00359135.v
knock_out	00467408.v
knock_out	01401904.v
knock_out	00177910.v
knock_out	01792837.v
knock_out	00446318.v
knock_over	01892059.v
knock_up	00052393.v
knot	01658643.v
knot	01288549.v
knot	01508330.v
know	00587430.v
know	00588355.v
know	00588050.v
know	00587146.v
know	00589064.v
know	00585692.v
know	00588552.v
know	01414190.v
know	00601056.v
know	00600888.v
know	00600758.v
know_apart	00642020.v
know_the_score	00588904.v
know_what's_going_on	00588904.v
know_what's_what	00588904.v
knuckle	01591595.v
knuckle	01591473.v
knuckle_down	02397541.v
knuckle_under	00795968.v
kotow	00871671.v
kowtow	02022405.v
kowtow	00871671.v
kvetch	00897850.v
label	01019537.v
label	01575170.v
label	00961941.v
label	00643484.v
label	00642936.v
labialise	00970612.v
labialize	00970612.v
labor	02383350.v
labor	02396115.v
labor	00056692.v
labour	02396115.v
labour	02383350.v
labour	00056692.v
lace	01504857.v
lace	01659610.v
lace	01659268.v
lace	01508809.v
lace	00219134.v
lace_into	01230966.v
lace_up	01508809.v
lacerate	01546314.v
lacerate	01776420.v
lack	02606969.v
lacquer	01667637.v
lactate	01175192.v
ladder	00331130.v
lade	01565395.v
lade	01477088.v
laden	01565395.v
laden	01477088.v
ladle	01565567.v
ladle	01565395.v
lag	01979501.v
lag	02470280.v
lag	01500132.v
lag	01327140.v
laicise	00528742.v
laicize	00528742.v
lallygag	02613725.v
lam	02056743.v
lam	01403991.v
lam_into	01230966.v
lamb	00057451.v
lambast	01400020.v
lambast	00815954.v
lambaste	01400020.v
lambaste	00815954.v
lame	00090809.v
lament	01785050.v
lament	00902029.v
laminate	01611277.v
laminate	01379331.v
laminate	01353052.v
laminate	01221025.v
lampoon	00843725.v
lance	02066595.v
lance	01590423.v
lance	01590189.v
land	01961584.v
land	01962719.v
land	00133461.v
land	02068594.v
land	02336132.v
land	01963119.v
land	01962962.v
land_up	01465047.v
land_up	00348587.v
landscape	01736461.v
landscape	01725920.v
languish	00385730.v
languish	01788516.v
languish	00092612.v
lap	02666264.v
lap	01419908.v
lap	02168271.v
lap	01159860.v
lap	00214575.v
lap_up	01159860.v
lapidate	01311774.v
lapidate	01221192.v
lapidify	00502331.v
lapse	01953814.v
lapse	00347853.v
lapse	00201616.v
lapse	00092346.v
lapse	02281987.v
lapse	02054525.v
lard	01664553.v
lard	00946711.v
lark	01866113.v
lark_about	01866113.v
larn	00590335.v
larrup	01408708.v
lash	01398901.v
lash	01860343.v
lash	01385825.v
lash	01292112.v
lash_out	00853663.v
lash_together	01275952.v
lasso	01590555.v
last	02678881.v
last	02593061.v
last_out	02594020.v
latch	01275192.v
latch_on	01204874.v
latch_on	00594516.v
latch_on	00583174.v
lateralize	02084879.v
lather	01256499.v
lather	01398901.v
lather	00506874.v
lather	00036423.v
latinise	00985660.v
latinise	00382516.v
latinize	00985660.v
latinize	00951531.v
latinize	00382516.v
laud	00851600.v
laugh	00031311.v
laugh_at	00842973.v
laugh_away	00793627.v
laugh_loudly	00031031.v
laugh_off	00793627.v
laugh_softly	00031154.v
launch	02403508.v
launch	01501742.v
launch	01502502.v
launch	00343947.v
launch	01502283.v
launch	01241767.v
launder	01522375.v
launder	00185970.v
lave	00214575.v
lave	00035853.v
lave	00024967.v
lavish	02243412.v
lay	01481373.v
lay	01531666.v
lay	01637189.v
lay	01532053.v
lay	02285487.v
lay_aside	02244733.v
lay_away	02284082.v
lay_claim	02253821.v
lay_down	00657413.v
lay_eyes_on	02110372.v
lay_hands_on	01200705.v
lay_in	02259548.v
lay_into	01230966.v
lay_off	02655013.v
lay_off	02380135.v
lay_on_the_line	02521324.v
lay_out	01461368.v
lay_out	00403572.v
lay_out	02344143.v
lay_out	00764319.v
lay_out	00702942.v
lay_over	02627496.v
lay_over	01456535.v
lay_to_rest	02432595.v
lay_up	00507313.v
lay_waste_to	00384397.v
layer	01250517.v
laze	02393846.v
leach	02053513.v
leach	02053303.v
leach	00483499.v
lead	01981555.v
lead	02610151.v
lead	02610448.v
lead	01981180.v
lead	00762984.v
lead	02660165.v
lead	02416585.v
lead	02661600.v
lead	02531594.v
lead	01717675.v
lead	02683823.v
lead	02660685.v
lead	01980975.v
lead	02660839.v
lead	00805069.v
lead_astray	02555626.v
lead_astray	01982045.v
lead_astray	00845442.v
lead_by_the_nose	00830337.v
lead_off	02555626.v
lead_off	00344775.v
lead_on	00775291.v
lead_on	02550431.v
lead_up	00534194.v
leaf	02133208.v
leaf	02071162.v
leaf	00094752.v
league	00365053.v
league_together	02406483.v
leak	00927525.v
leak	00926671.v
leak	00524407.v
leak	00254742.v
leak_out	00926671.v
lean	02020053.v
lean	01592860.v
lean	02695145.v
lean	00680164.v
lean	02020709.v
lean_against	01576486.v
lean_back	02020852.v
lean_on	01576486.v
leap	01945853.v
leap	00554978.v
leap	02086180.v
leap	01947067.v
leap_out	02648769.v
leap_out	01948412.v
leapfrog	01947822.v
leapfrog	00245839.v
learn	00590335.v
learn	00591374.v
learn	00596962.v
learn	00592412.v
learn	00820277.v
learn	00911004.v
lease	02436339.v
lease	02436759.v
lease	02188463.v
lease	02188097.v
leash	01277569.v
leather	01386475.v
leave	01991207.v
leave	00606030.v
leave	02705088.v
leave	00134595.v
leave	01997376.v
leave	02697111.v
leave	02610151.v
leave	02360215.v
leave	02333853.v
leave	02208351.v
leave	02705809.v
leave	00356117.v
leave	02274544.v
leave	00605365.v
leave_alone	00134595.v
leave_behind	02063015.v
leave_behind	00356117.v
leave_behind	00134595.v
leave_no_stone_unturned	01304595.v
leave_off	02658274.v
leave_off	00607944.v
leave_off	00567248.v
leave_office	02359426.v
leave_out	00607944.v
leave_out	00607346.v
leaven	01957270.v
lech_after	01811112.v
lecture	00821931.v
lecture	00815954.v
leech	00085257.v
leech_onto	01344903.v
leer	02144589.v
leg_it	01888403.v
legalise	02457557.v
legalize	02457557.v
legislate	02442789.v
legitimate	02457557.v
legitimate	00887371.v
legitimate	00569928.v
legitimatise	02457557.v
legitimatize	02457557.v
legitimise	02457557.v
legitimize	02457557.v
lend	02302430.v
lend	02302152.v
lend	02712065.v
lend_oneself	02681791.v
lengthen	00314123.v
lengthen	00313054.v
lenify	01748634.v
lessen	00149126.v
lessen	00436831.v
lessen	00229899.v
let	02399666.v
let	00762842.v
let	00793809.v
let	00118530.v
let	00491555.v
let	02188463.v
let_down	01954808.v
let_down	01781786.v
let_drive	01123611.v
let_fly	01123611.v
let_go	01461709.v
let_go	02712737.v
let_go_of	01461709.v
let_in	02426186.v
let_in	02478434.v
let_it_go	02348521.v
let_loose	00974097.v
let_loose	01462695.v
let_off	00884572.v
let_on	00924278.v
let_out	00974097.v
let_out	00924278.v
let_out	01462460.v
let_out	00300202.v
let_the_cat_out_of_the_bag	00927710.v
let_up	00241861.v
let_up	00153539.v
letter	02268804.v
letter	01677459.v
letter	01677323.v
letter_bomb	01122724.v
levant	02055769.v
level	01141915.v
level	01646820.v
level	01295528.v
level	01141233.v
level	00954525.v
level	00352673.v
level_off	00352673.v
lever	01579737.v
leverage	02337445.v
leverage	02337296.v
levitate	01926413.v
levitate	01926199.v
levy	02284688.v
levy	01087562.v
lexicalise	00952478.v
lexicalize	00952478.v
liaise	00752408.v
libel	00838723.v
liberalise	02443324.v
liberalise	02443124.v
liberalize	02443124.v
liberalize	02443324.v
liberate	02473313.v
liberate	02397810.v
liberate	02472975.v
librate	02678570.v
librate	01860963.v
licence	02421003.v
license	02421003.v
lick	01400728.v
lick	01419908.v
lick	00627467.v
lick	01159860.v
lie	02664915.v
lie	01533975.v
lie	02627955.v
lie	02710012.v
lie	00825429.v
lie	02707064.v
lie	01966712.v
lie_about	02614555.v
lie_around	02614555.v
lie_awake	01534899.v
lie_dormant	02355407.v
lie_down	01966712.v
lie_in	02627955.v
lie_in	00056596.v
lie_in_wait	01127404.v
lie_low	02126939.v
lie_low	00581574.v
lie_with	01414190.v
lift	01955745.v
lift	01565727.v
lift	01955442.v
lift	01950480.v
lift	00976348.v
lift	00791256.v
lift	02255322.v
lift	01442477.v
lift	00544571.v
lift	00539156.v
lift	00175960.v
lift	02670770.v
lift	02329804.v
lift	02256517.v
lift	02255594.v
lift	01439350.v
lift	01299994.v
lift	00784416.v
lift	00353222.v
lift	00350224.v
lift	00195644.v
lift	00176081.v
lift	00175810.v
lift	00061209.v
lift_off	01996332.v
lift_out	01300757.v
lift_up	01957772.v
lift_up	01794593.v
ligate	01601604.v
ligate	00562053.v
ligate	00082496.v
light	00288242.v
light	01188794.v
light	01960383.v
light	02733933.v
light	02209124.v
light	01940389.v
light_up	02735548.v
light_up	00288242.v
light_up	02745640.v
light_up	02738593.v
light_up	01188794.v
light_upon	02265142.v
lighten	01796930.v
lighten	01474696.v
lighten	00851116.v
lighten	00309132.v
lighten	00308834.v
lighten	00277544.v
lighten	00196088.v
lighten_up	01796930.v
lighten_up	00851116.v
lighten_up	00309132.v
lighten_up	00277544.v
lighter	01936789.v
lignify	00580020.v
like	01807592.v
like	01760206.v
like	01759948.v
like	00683568.v
like	01808818.v
liken	00645624.v
lilt	00941367.v
limber	01589924.v
limber	00100103.v
limber_up	01589924.v
limber_up	00026997.v
lime	02064674.v
lime	01590036.v
limit	00230278.v
limit	00232312.v
